Timestamp      Susceptible    Infected       Recovered
    0           4872             70              0          
    1           4767            115             60          
    2           4611            172            159          
    3           4422            224            296          
    4           4169            284            489          
    5           3896            308            738          
    6           3623            324            995          
    7           3378            302           1262          
    8           3186            249           1507          
    9           3011            206           1725          
   10           2848            196           1898          
   11           2733            144           2065          
   12           2618            147           2177          
   13           2517            130           2295          
   14           2438             94           2410          
   15           2351            101           2490          
   16           2288             81           2573          
   17           2244             65           2633          
   18           2221             33           2688          
   19           2194             32           2716          
   20           2174             24           2744          
   21           2149             27           2766          
   22           2125             26           2791          
   23           2113             15           2814          
   24           2107              8           2827          
   25           2101              7           2834          
   26           2097              4           2841          
   27           2094              3           2845          
   28           2090              4           2848          
   29           2088              2           2852          
   30           2087              1           2854          
   31           2087              0           2855          
   32           2087              0           2855          
   33           2087              0           2855          
   34           2087              0           2855          
   35           2087              0           2855          
   36           2087              0           2855          
   37           2087              0           2855          
   38           2087              0           2855          
   39           2087              0           2855          
   40           2087              0           2855          
   41           2087              0           2855          
   42           2087              0           2855          
   43           2087              0           2855          
   44           2087              0           2855          
   45           2087              0           2855          
   46           2087              0           2855          
   47           2087              0           2855          
   48           2087              0           2855          
   49           2087              0           2855          
   50           2087              0           2855          
   51           2087              0           2855          
   52           2087              0           2855          
   53           2087              0           2855          
   54           2087              0           2855          
   55           2087              0           2855          
   56           2087              0           2855          
   57           2087              0           2855          
   58           2087              0           2855          
   59           2087              0           2855          
   60           2087              0           2855          


END

Timestamp      Susceptible    Infected       Recovered
    0           4872             70              0          
    1           4772            105             65          
    2           4664            133            145          
    3           4511            174            257          
    4           4311            225            406          
    5           4098            240            604          
    6           3861            276            805          
    7           3619            280           1043          
    8           3399            260           1283          
    9           3184            257           1501          
   10           3015            209           1718          
   11           2885            167           1890          
   12           2776            141           2025          
   13           2707             84           2151          
   14           2632             92           2218          
   15           2572             75           2295          
   16           2528             54           2360          
   17           2481             57           2404          
   18           2453             35           2454          
   19           2430             32           2480          
   20           2412             28           2502          
   21           2403             13           2526          
   22           2391             12           2539          
   23           2380             12           2550          
   24           2371              9           2562          
   25           2364              8           2570          
   26           2359              6           2577          
   27           2354              6           2582          
   28           2348              6           2588          
   29           2344              5           2593          
   30           2341              3           2598          
   31           2338              3           2601          
   32           2337              2           2603          
   33           2336              2           2604          
   34           2336              0           2606          
   35           2336              0           2606          
   36           2336              0           2606          
   37           2336              0           2606          
   38           2336              0           2606          
   39           2336              0           2606          
   40           2336              0           2606          
   41           2336              0           2606          
   42           2336              0           2606          
   43           2336              0           2606          
   44           2336              0           2606          
   45           2336              0           2606          
   46           2336              0           2606          
   47           2336              0           2606          
   48           2336              0           2606          
   49           2336              0           2606          
   50           2336              0           2606          
   51           2336              0           2606          
   52           2336              0           2606          
   53           2336              0           2606          
   54           2336              0           2606          
   55           2336              0           2606          
   56           2336              0           2606          
   57           2336              0           2606          
   58           2336              0           2606          
   59           2336              0           2606          
   60           2336              0           2606          


END

Timestamp      Susceptible    Infected       Recovered
    0           4872             70              0          
    1           4770            114             58          
    2           4615            172            155          
    3           4400            237            305          
    4           4151            285            506          
    5           3871            324            747          
    6           3591            327           1024          
    7           3322            321           1299          
    8           3082            288           1572          
    9           2895            234           1813          
   10           2780            151           2011          
   11           2707            107           2128          
   12           2648             73           2221          
   13           2601             50           2291          
   14           2563             45           2334          
   15           2530             40           2372          
   16           2503             37           2402          
   17           2480             31           2431          
   18           2465             23           2454          
   19           2447             23           2472          
   20           2431             19           2492          
   21           2421             11           2510          
   22           2412             15           2515          
   23           2408              5           2529          
   24           2404              4           2534          
   25           2401              3           2538          
   26           2398              4           2540          
   27           2394              6           2542          
   28           2393              1           2548          
   29           2393              0           2549          
   30           2393              0           2549          
   31           2393              0           2549          
   32           2393              0           2549          
   33           2393              0           2549          
   34           2393              0           2549          
   35           2393              0           2549          
   36           2393              0           2549          
   37           2393              0           2549          
   38           2393              0           2549          
   39           2393              0           2549          
   40           2393              0           2549          
   41           2393              0           2549          
   42           2393              0           2549          
   43           2393              0           2549          
   44           2393              0           2549          
   45           2393              0           2549          
   46           2393              0           2549          
   47           2393              0           2549          
   48           2393              0           2549          
   49           2393              0           2549          
   50           2393              0           2549          
   51           2393              0           2549          
   52           2393              0           2549          
   53           2393              0           2549          
   54           2393              0           2549          
   55           2393              0           2549          
   56           2393              0           2549          
   57           2393              0           2549          
   58           2393              0           2549          
   59           2393              0           2549          
   60           2393              0           2549          


END

Timestamp      Susceptible    Infected       Recovered
    0           4872             70              0          
    1           4765            111             66          
    2           4625            156            161          
    3           4418            238            286          
    4           4201            253            488          
    5           3962            275            705          
    6           3743            257            942          
    7           3530            258           1154          
    8           3347            219           1376          
    9           3170            203           1569          
   10           3009            197           1736          
   11           2895            144           1903          
   12           2790            119           2033          
   13           2700            109           2133          
   14           2598            121           2223          
   15           2507            112           2323          
   16           2426            105           2411          
   17           2356             81           2505          
   18           2306             62           2574          
   19           2265             49           2628          
   20           2231             45           2666          
   21           2204             34           2704          
   22           2177             30           2735          
   23           2157             23           2762          
   24           2145             14           2783          
   25           2124             24           2794          
   26           2103             24           2815          
   27           2092             14           2836          
   28           2086              7           2849          
   29           2084              3           2855          
   30           2081              4           2857          
   31           2078              4           2860          
   32           2074              4           2864          
   33           2065             10           2867          
   34           2058              9           2875          
   35           2051              8           2883          
   36           2048              5           2889          
   37           2046              2           2894          
   38           2043              4           2895          
   39           2040              4           2898          
   40           2038              3           2901          
   41           2036              2           2904          
   42           2034              2           2906          
   43           2032              2           2908          
   44           2029              4           2909          
   45           2028              1           2913          
   46           2028              1           2913          
   47           2028              0           2914          
   48           2028              0           2914          
   49           2028              0           2914          
   50           2028              0           2914          
   51           2028              0           2914          
   52           2028              0           2914          
   53           2028              0           2914          
   54           2028              0           2914          
   55           2028              0           2914          
   56           2028              0           2914          
   57           2028              0           2914          
   58           2028              0           2914          
   59           2028              0           2914          
   60           2028              0           2914          


END

Timestamp      Susceptible    Infected       Recovered
    0           4872             70              0          
    1           4764            123             55          
    2           4614            165            163          
    3           4431            208            303          
    4           4219            248            475          
    5           3979            277            686          
    6           3713            306            923          
    7           3460            297           1185          
    8           3231            278           1433          
    9           3046            229           1667          
   10           2868            208           1866          
   11           2708            194           2040          
   12           2564            174           2204          
   13           2450            146           2346          
   14           2366            105           2471          
   15           2291             88           2563          
   16           2240             70           2632          
   17           2210             40           2692          
   18           2190             25           2727          
   19           2176             17           2749          
   20           2168             12           2762          
   21           2162              8           2772          
   22           2160              4           2778          
   23           2159              2           2781          
   24           2159              0           2783          
   25           2159              0           2783          
   26           2159              0           2783          
   27           2159              0           2783          
   28           2159              0           2783          
   29           2159              0           2783          
   30           2159              0           2783          
   31           2159              0           2783          
   32           2159              0           2783          
   33           2159              0           2783          
   34           2159              0           2783          
   35           2159              0           2783          
   36           2159              0           2783          
